,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
370,Andrew Omobamidele,DF,Norwich City,19,2002,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,Tyler Onyango,MFFW,Everton,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Frank Onyeka,MF,Brentford,23,1998,11.6,17,1.46,11,0,1,1,4,0,1,0.09,0,0,0,0,1,0,Matches
373,Divock Origi,FW,Liverpool,26,1995,1.5,2,1.35,1,0,0,1,0,0,2,1.35,1,0,0,1,0,0,Matches
374,Alex Oxlade-Chamberlain,MFFW,Liverpool,27,1993,8.7,21,2.41,17,0,2,0,1,1,1,0.11,1,0,0,0,0,0,Matches
375,Cole Palmer,FWMF,Manchester City,19,2002,1.4,7,5.12,4,0,0,2,1,0,1,0.73,0,0,0,1,0,0,Matches
376,Emerson Palmieri,DF,Chelsea,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Thomas Partey,MF,Arsenal,28,1993,22.5,51,2.26,39,0,5,4,3,0,3,0.13,2,0,0,1,0,0,Matches
378,João Pedro,FWMF,Watford,19,2001,18.3,49,2.68,33,0,7,4,4,1,4,0.22,3,0,0,1,0,0,Matches
379,Nicolas Pépé,FWMF,Arsenal,26,1995,7.7,28,3.62,15,9,2,2,0,0,4,0.52,2,0,0,2,0,0,Matches
380,Ricardo Pereira,DF,Leicester City,27,1993,11,23,2.09,19,0,3,0,0,1,6,0.54,4,0,1,0,0,1,Matches
381,Ayoze Pérez,MFFW,Leicester City,28,1993,4.9,18,3.64,14,0,2,1,0,1,2,0.4,2,0,0,0,0,0,Matches
382,Sonny Perkins,FW,West Ham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Romain Perraud,DF,Southampton,23,1997,18,27,1.5,20,1,2,2,1,1,3,0.17,3,0,0,0,0,0,Matches
384,Kalvin Phillips,MF,Leeds United,25,1995,17.7,23,1.3,17,3,0,1,0,2,4,0.23,3,1,0,0,0,0,Matches
385,Jaden Philogene Bidace,FW,Aston Villa,19,2002,0.1,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
386,Jordan Pickford,GK,Everton,27,1994,35,7,0.2,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
387,Erik Pieters,DF,Burnley,32,1988,8.1,7,0.86,5,2,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
388,Ethan Pinnock,DF,Brentford,28,1993,29.9,20,0.67,14,3,0,3,0,0,3,0.1,1,1,0,1,0,0,Matches
389,Daniel Podence,FWMF,Wolves,25,1995,16.5,62,3.76,48,0,4,5,4,1,4,0.24,3,0,0,1,0,0,Matches
390,Paul Pogba,MFFW,Manchester Utd,28,1993,15,51,3.4,40,1,4,1,5,0,11,0.73,10,1,0,0,0,0,Matches
391,Nick Pope,GK,Burnley,29,1992,36,8,0.22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Isaac Price,MF,Everton,17,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Teemu Pukki,FW,Norwich City,31,1990,36.1,60,1.66,36,0,9,2,11,2,4,0.11,3,0,0,0,1,0,Matches
394,Christian Pulisic,MFFW,Chelsea,22,1998,14.3,33,2.3,23,0,0,2,5,3,2,0.14,2,0,0,0,0,0,Matches
395,Przemysław Płacheta,FWMF,Norwich City,23,1998,5.6,14,2.5,5,2,2,0,5,0,0,0,0,0,0,0,0,0,Matches
396,Jesuran Rak Sakyi,FWMF,Crystal Palace,18,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Aaron Ramsdale,GK,Arsenal,23,1998,34,1,0.03,0,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
398,Jacob Ramsey,MF,Aston Villa,20,2001,27.4,63,2.3,49,0,3,2,8,1,3,0.11,2,0,0,1,0,0,Matches
399,Marcus Rashford,FWMF,Manchester Utd,23,1997,13.7,29,2.11,18,0,4,2,5,0,3,0.22,3,0,0,0,0,0,Matches
400,Milot Rashica,FWMF,Norwich City,25,1996,24.8,56,2.26,33,14,2,3,2,2,4,0.16,3,1,0,0,0,0,Matches
401,David Raya,GK,Brentford,25,1995,24,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Nathan Redmond,MFFW,Southampton,27,1994,20.4,66,3.24,53,4,2,4,2,1,8,0.39,6,1,0,0,1,0,Matches
