Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
55,Armando Broja,FW,Southampton,19,2001,32,21,1975,21.9,6,0,6,0,0,2,0,0.27,0,0.27,0.27,0.27,7,7,1.3,8.4,0.32,0.06,0.38,0.32,0.38,Matches
56,Josh Brownhill,MF,Burnley,25,1995,35,32,2955,32.8,2,3,2,0,0,10,0,0.06,0.09,0.15,0.06,0.15,1.4,1.4,2.5,3.9,0.04,0.08,0.12,0.04,0.12,Matches
57,Lewis Brunt,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Bryan,FWMF,Tottenham,20,2001,9,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.07,0.1,0.03,0.1,Matches
59,Emi Buendía,FWMF,Aston Villa,24,1996,35,22,1899,21.1,4,6,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,3.1,3.1,5.5,8.6,0.14,0.26,0.41,0.14,0.41,Matches
60,Dan Burn,DF,Newcastle Utd,29,1992,16,16,1440,16,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches
61,Dan Burn,DF,Brighton,29,1992,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.11,0,0.12,0.11,0.12,Matches
62,Jack Butland,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Sam Byram,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0.2,1.1,0.08,0.02,0.1,0.08,0.1,Matches
64,Willy Caballero,GK,Southampton,39,1981,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Moisés Caicedo,MF,Brighton,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.8,0.8,0.4,1.1,0.1,0.05,0.16,0.1,0.16,Matches
66,Dominic Calvert-Lewin,FW,Everton,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45,Matches
67,Chem Campbell,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,João Cancelo,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,0.03,0.2,0.22,0.03,0.22,4.1,4.1,5.1,9.3,0.12,0.14,0.26,0.12,0.26,Matches
69,Sergi Canós,DF,Brentford,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22,3,3,1.9,4.9,0.13,0.08,0.21,0.13,0.21,Matches
70,Todd Cantwell,FWMF,Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches
71,Matty Cash,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2.4,2.4,1.9,4.4,0.07,0.05,0.12,0.07,0.12,Matches
72,Timothy Castagne,DF,Leicester City,25,1995,27,22,2127,23.6,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.09,0.03,0.09,Matches
73,Jonny Castro,DF,Wolves,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,0.18,0,0.18,0.18,0.18,0.8,0.8,1.2,2,0.07,0.1,0.17,0.07,0.17,Matches
74,Craig Cathcart,DF,Watford,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,0.1,0.1,0.3,0.5,0,0.01,0.02,0,0.02,Matches
75,Edinson Cavani,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55,Matches
76,Kayky Chagas,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Trevoh Chalobah,DF,Chelsea,22,1999,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1,1,0.2,1.2,0.06,0.01,0.08,0.06,0.08,Matches
78,Calum Chambers,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches
79,Calum Chambers,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04,Matches
80,Daniel Chesters,MF,West Ham,19,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Ben Chilwell,DF,Chelsea,24,1996,7,6,542,6,3,1,3,0,0,0,0,0.5,0.17,0.66,0.5,0.66,1.2,1.2,0.9,2.1,0.19,0.15,0.34,0.19,0.34,Matches
82,Chiquinho,DFMF,Wolves,21,2000,8,1,208,2.3,0,3,0,0,0,0,0,0,1.3,1.3,0,1.3,0.3,0.3,0.6,0.9,0.13,0.27,0.41,0.13,0.41,Matches
83,Hamza Choudhury,DFMF,Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
84,Andreas Christensen,DF,Chelsea,25,1996,19,17,1496,16.6,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
85,Carney Chukwuemeka,MFFW,Aston Villa,17,2004,12,2,301,3.3,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.6,0.6,1,1.5,0.17,0.29,0.46,0.17,0.46,Matches
